ticker,sector,mer,fum, one_month_return 
URNM,Equity - Global Sectors,0.69,117.88, 18.86 
WIRE,Equity - Global Sectors,0.65,152.19,-0.71 
XMET,Equity - Global Sectors,0.69,18.53,-8.48 
ADEF,Equity - Global Strategy,0.9,15.74, 3.27 
AGX1,Equity - Global Strategy,1.1,334.5, 3.17 
BBUS,Equity - Global Strategy,1.38,202.25,-4.52 
CFLO,Equity - Global Strategy,0.4,12.37, 6.51 
ERTH,Equity - Global Strategy,0.65,110.53,-9.19 
ETHI,Equity - Global Strategy,0.59,"2,945.40", 8.13 
FATP,Equity - Global Strategy,1.77,3.7, 0.42 
FDEM,Equity - Global Strategy,0.89,105.09, 5.15 
FUTR,Equity - Global Strategy,0.8,1.1, 4.28 
GGUS,Equity - Global Strategy,0.8,192.48, 5.00 
GLOB,Equity - Global Strategy,0.99,261.43, 2.20 
GOAT,Equity - Global Strategy,0.55,39.38, 2.50 
GPEQ,Equity - Global Strategy,0.92,21.39, 4.55 
HETH,Equity - Global Strategy,0.62,422.16, 4.60 
HQLT,Equity - Global Strategy,0.38,55.31, 4.01 
HVLU,Equity - Global Strategy,0.43,2.6, 1.06 
HYGG,Equity - Global Strategy,0.7,"2,463.13", 5.39 
IISV,Equity - Global Strategy,0.97,32.08, 2.03 
INCM,Equity - Global Strategy,0.45,27.26, 3.34 
ISLM,Equity - Global Strategy,1.89,85.36, 0.52 
JEPI,Equity - Global Strategy,0.4,66.27, 6.27 
JHPI,Equity - Global Strategy,0.4,1.8, 0.59 
JPEQ,Equity - Global Strategy,0.4,21.66, 8.07 
JPHQ,Equity - Global Strategy,0.4,1.38, 3.07 
JREG,Equity - Global Strategy,0.3,13.27, 5.50 
JRHG,Equity - Global Strategy,0.3,1.93, 2.17 
JZRO,Equity - Global Strategy,0.85,1.62, 0.04 
L1IF,Equity - Global Strategy,1.2,205.47, 8.04 
LNAS,Equity - Global Strategy,1,71.89, 4.55 
LPGD,Equity - Global Strategy,1.2,337, 8.53 
LSGE,Equity - Global Strategy,0.99,45.01, 7.75 
MAET,Equity - Global Strategy,1.35,183.61, 6.92 
MCCL,Equity - Global Strategy,0.9,34.21, 4.07 
MCGG,Equity - Global Strategy,0.7,3.17, 10.08 
MGOC,Equity - Global Strategy,1.35,"6,366.41", 8.30 
MHG,Equity - Global Strategy,1.35,110.94, 4.97 
MHHT,Equity - Global Strategy,1.5,460.72, 7.47 
MKAX,Equity - Global Strategy,1.25,52.69, 8.98 
MOAT,Equity - Global Strategy,0.49,833.81, 3.58 
MOGL,Equity - Global Strategy,1.32,91.16, 7.73 
MQWS,Equity - Global Strategy,1.28,0.82, 6.04 
MSTR,Equity - Global Strategy,0.39,185.17, 1.54 
NNUK,Equity - Global Strategy,1.1,757.6, 4.74 
PAXX,Equity - Global Strategy,1.1,87.67,-1.49 
PGTX,Equity - Global Strategy,1.025,13.81, 1.90 
PIXX,Equity - Global Strategy,1.1,303.81, 0.65 
QHAL,Equity - Global Strategy,0.43,932.9, 4.23 
QHSM,Equity - Global Strategy,0.62,21.94, 0.22 
QLTY,Equity - Global Strategy,0.35,463.65, 7.29 
QMAX,Equity - Global Strategy,0.68,8.36, 7.57 
QMIX,Equity - Global Strategy,0.18,53.98, 5.81 
QSML,Equity - Global Strategy,0.59,408.03, 3.79 
QUAL,Equity - Global Strategy,0.4,"4,892.73", 7.63 
QYLD,Equity - Global Strategy,0.6,5.09, 6.04 
S3GO,Equity - Global Strategy,0.72,11.63, 4.85 
SNAS,Equity - Global Strategy,1,57.06,-5.82 
T3MP,Equity - Global Strategy,0.55,1.33, 2.46 
UMAX,Equity - Global Strategy,0.79,166.29, 7.19 
UYLD,Equity - Global Strategy,0.6,1.19, 5.68 
VESG,Equity - Global Strategy,0.18,791.04, 6.08 
VISM,Equity - Global Strategy,0.33,294.83, 1.66 
VMIN,Equity - Global Strategy,0.28,17.95, 3.08 
VNGS,Equity - Global Strategy,1.12,11.94, 1.80 
VVLU,Equity - Global Strategy,0.29,544.3, 4.13 
WCMQ,Equity - Global Strategy,1.35,328.66, 7.07 
WDIV,Equity - Global Strategy,0.35,359.69, 2.32 
WDMF,Equity - Global Strategy,0.35,156.71, 5.62 
WVOL,Equity - Global Strategy,0.3,293.31, 5.61 
XALG,Equity - Global Strategy,0.75,517.42, 7.26 
XASG,Equity - Global Strategy,0.75,64.64, 9.01 
VLUE,Equity - Global Strategy,0.4,236.95, 4.01 
ZYUS,Equity - Global Strategy,0.35,67.91, n/a 
IFRA,Equity - Infrastructure,0.2,800.21,-1.62 
GLIN,Equity - Infrastructure,0.15,180.05,-2.41 
JPSI,Equity - Infrastructure,0.55,1.25, n/a 
MICH,Equity - Infrastructure,1.06,655.62,-1.14 
VBLD,Equity - Infrastructure,0.47,321.26, 1.44 
MVA,Property - Australia,0.35,551.16, 5.64 
RINC,Property - Australia,0.85,56.95, 0.04 
SLF,Property - Australia,0.4,481.22, 1.13 
VAP,Property - Australia,0.23,"2,747.97", 1.08 
DJRE,Property - Global,0.5,421.18,-0.29 
GLPR,Property - Global,0.15,61.25,-4.21 
HJZP,Property - Global,1.5,12.44, -   
RCAP,Property - Global,0.8,"1,388.49",-4.17 
REIT,Property - Global,0.2,303.01,-4.35 
1GOV,Fixed Income - Australia Dollar,0.22,2.04, 0.25 
5GOV,Fixed Income - Australia Dollar,0.22,4.14,-0.20 
XGOV,Fixed Income - Australia Dollar,0.22,14.61,-1.04 
AGVT,Fixed Income - Australia Dollar,0.22,615.11,-0.32 
BHYB,Fixed Income - Australia Dollar,0.35,338.45, 0.38 
BNDS,Fixed Income - Australia Dollar,0.42,621, 0.07 
BOND,Fixed Income - Australia Dollar,0.24,37.08,-0.04 
CRED,Fixed Income - Australia Dollar,0.25,682.85, 0.30 
FLOT,Fixed Income - Australia Dollar,0.22,686.63, 0.65 
GOVT,Fixed Income - Australia Dollar,0.1,35.86,-0.21 
GGAB,Fixed Income - Australia Dollar,0.99,2.69,-2.52 
